Order ID,Customer,Amount,Activity,Timestamp,Order Status,Resource
SO-2026-0001,Soylent Foods,34035.97,Receive Order,2026-02-02T08:23:45Z,Received,Priya Nair
SO-2026-0002,Wonka Brands,21340.44,Receive Order,2026-02-02T08:38:36Z,Received,Nadia Rahman
SO-2026-0001,Soylent Foods,17927.05,Approve Order,2026-02-02T09:43:45Z,Approved,Order Desk
SO-2026-0003,Globex Stores,35797.95,Receive Order,2026-02-02T11:33:27Z,Received,Tom Becker
SO-2026-0004,Stark Traders,8443.18,Receive Order,2026-02-02T11:44:00Z,Received,Priya Nair
SO-2026-0005,Initech Ltd,9141.44,Receive Order,2026-02-02T11:52:04Z,Received,Luis Ortega
SO-2026-0006,Acme Retail,8631.58,Receive Order,2026-02-02T11:57:28Z,Received,Priya Nair
SO-2026-0006,Acme Retail,29473.64,Run Credit Check,2026-02-02T13:02:28Z,Credit Check,Credit Desk
SO-2026-0004,Stark Traders,14984.60,Run Credit Check,2026-02-02T13:59:00Z,Credit Check,Credit Desk
SO-2026-0007,Wonka Brands,2470.87,Receive Order,2026-02-02T14:04:05Z,Received,Priya Nair
SO-2026-0008,Initech Ltd,12278.78,Receive Order,2026-02-02T14:40:13Z,Received,Priya Nair
SO-2026-0009,Hooli Inc,20079.20,Receive Order,2026-02-02T14:40:44Z,Received,Tom Becker
SO-2026-0010,Globex Stores,23967.04,Receive Order,2026-02-02T14:49:07Z,Received,Tom Becker
SO-2026-0011,Acme Retail,18356.69,Receive Order,2026-02-02T14:50:18Z,Received,Nadia Rahman
SO-2026-0005,Initech Ltd,29714.36,Run Credit Check,2026-02-02T15:14:04Z,Credit Check,Credit Desk
SO-2026-0002,Wonka Brands,5467.66,Run Credit Check,2026-02-02T16:09:36Z,Credit Check,Credit Desk
SO-2026-0009,Hooli Inc,13311.15,Run Credit Check,2026-02-02T17:07:44Z,Credit Check,Credit Desk
SO-2026-0011,Acme Retail,16219.81,Run Credit Check,2026-02-02T17:15:18Z,Credit Check,Credit Desk
SO-2026-0003,Globex Stores,20512.91,Run Credit Check,2026-02-02T18:05:27Z,Credit Check,Credit Desk
SO-2026-0010,Globex Stores,14505.68,Run Credit Check,2026-02-02T18:51:07Z,Credit Check,Credit Desk
SO-2026-0008,Initech Ltd,41498.71,Run Credit Check,2026-02-02T19:24:13Z,Credit Check,Credit Desk
SO-2026-0003,Globex Stores,27948.76,Place On Credit Hold,2026-02-02T19:26:27Z,On Credit Hold,Credit Desk
SO-2026-0009,Hooli Inc,29209.07,Place On Credit Hold,2026-02-02T20:08:44Z,On Credit Hold,Credit Desk
SO-2026-0007,Wonka Brands,36397.69,Run Credit Check,2026-02-02T21:11:05Z,Credit Check,Credit Desk
SO-2026-0006,Acme Retail,17218.41,Approve Order,2026-02-02T21:43:28Z,Approved,Order Desk
SO-2026-0011,Acme Retail,10832.09,Approve Order,2026-02-02T21:51:18Z,Approved,Order Desk
SO-2026-0003,Globex Stores,18777.48,Release Credit Hold,2026-02-03T00:02:27Z,Approved,Credit Desk
SO-2026-0007,Wonka Brands,15352.21,Approve Order,2026-02-03T00:31:05Z,Approved,Order Desk
SO-2026-0009,Hooli Inc,13880.43,Release Credit Hold,2026-02-03T02:02:44Z,Approved,Credit Desk
SO-2026-0010,Globex Stores,25240.44,Approve Order,2026-02-03T02:06:07Z,Approved,Order Desk
SO-2026-0004,Stark Traders,39743.10,Approve Order,2026-02-03T02:19:00Z,Approved,Order Desk
SO-2026-0005,Initech Ltd,8289.52,Approve Order,2026-02-03T04:10:04Z,Approved,Order Desk
SO-2026-0008,Initech Ltd,12852.92,Approve Order,2026-02-03T04:28:13Z,Approved,Order Desk
SO-2026-0002,Wonka Brands,13745.31,Approve Order,2026-02-03T04:52:36Z,Approved,Order Desk
SO-2026-0012,Wayne Enterprises,15043.98,Receive Order,2026-02-03T08:13:53Z,Received,Luis Ortega
SO-2026-0003,Globex Stores,36464.83,Fulfil Order,2026-02-03T09:06:27Z,Fulfilled,Fulfilment Centre
SO-2026-0013,Wayne Enterprises,31426.95,Receive Order,2026-02-03T11:05:14Z,Received,Tom Becker
SO-2026-0014,Initech Ltd,3584.45,Receive Order,2026-02-03T11:13:27Z,Received,Tom Becker
SO-2026-0015,Initech Ltd,25886.36,Receive Order,2026-02-03T12:01:46Z,Received,Luis Ortega
SO-2026-0016,Umbrella Group,43758.84,Receive Order,2026-02-03T12:04:32Z,Received,Tom Becker
SO-2026-0012,Wayne Enterprises,20227.21,Run Credit Check,2026-02-03T13:22:53Z,Credit Check,Credit Desk
